Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S140895938,Ánsar común (doméstico),Anser anser (Domestic type),262,2,ES-GA,Ourense,L25019394,O Barco de Valdeorras--Parque do Malecón,42.4147559,-6.9861182,2019-08-22,08:08 PM,eBird - Casual Observation,,0,,,1,,"Estas dos ocas fueron dejadas ahí por el pueblo en 2019 para que criasen, pero no están en cautiverio.",,582752751
S140896366,Ánsar común (doméstico),Anser anser (Domestic type),262,2,ES-GA,Ourense,L25019394,O Barco de Valdeorras--Parque do Malecón,42.4147559,-6.9861182,2021-09-11,06:31 PM,eBird - Casual Observation,,0,,,1,,"Estas dos ocas fueron dejadas ahí por el pueblo en 2019 para que criasen, pero no están en cautiverio.",,582752561
S140896492,Ánsar común (doméstico),Anser anser (Domestic type),262,2,ES-GA,Ourense,L25019394,O Barco de Valdeorras--Parque do Malecón,42.4147559,-6.9861182,2023-05-13,05:52 PM,eBird - Casual Observation,,0,,,1,,"Estas dos ocas fueron dejadas ahí por el pueblo en 2019 para que criasen, pero no están en cautiverio.",,582752711
S140873971,Ánsar común (doméstico),Anser anser (Domestic type),262,2,ES-GA,Pontevedra,L7276660,Moaña--Enseada de Mouro,42.2893052,-8.6753529,2022-01-28,04:12 PM,eBird - Casual Observation,,0,,,1,,,,582466571 582466581
S140834473,Barnacla canadiense grande,Branta canadensis,319,1,ES-IB,,L6429810,Port de Sóller,39.7958842,2.6960278,2012-07-22,01:36 PM,eBird - Casual Observation,,0,,,1,,,,582302331
S140863860,Cisne vulgar,Cygnus olor,353,1,BE-VLG,,L10841566,Brugge--Wijngaardplein,51.2009848,3.2242281,2013-08-20,04:36 PM,eBird - Casual Observation,,0,,,1,,,,582441471
S151540516,Pato criollo (doméstico),Cairina moschata (Domestic type),416,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-10-04,08:28 PM,eBird - Casual Observation,,0,,,1,,,,609634404
S140888622,Ánade azulón,Anas platyrhynchos,505,2,ES-GA,Ourense,L5882629,Encoro de San Martiño,42.3878801,-7.1215871,2023-05-14,06:00 PM,eBird - Traveling Count,125,1,4.,,1,,,,582504661
S140887323,Ánade azulón,Anas platyrhynchos,505,20,ES-GA,Ourense,L25031915,O Barco de Valdeorras--O Salgueiral,42.4136352,-6.988163,2023-05-13,05:49 PM,eBird - Traveling Count,130,1,6.,,1,,,,582499721
S149917136,Ánade azulón,Anas platyrhynchos,505,2,ES-GA,Ourense,L16938611,Ourense cidade--Campus oeste,42.3445534,-7.8571773,2023-09-15,01:29 PM,eBird - Traveling Count,10,1,.25,,1
S140810033,Ánade azulón,Anas platyrhynchos,505,1,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-17,06:55 PM,eBird - Traveling Count,40,0,2.,,1,,,,582209191
S140808749,Ánade azulón,Anas platyrhynchos,505,4,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-18,04:45 PM,eBird - Traveling Count,32,0,2.,,1,,,,582204091 582204171 582204181
S140808031,Ánade azulón,Anas platyrhynchos,505,4,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-19,04:33 PM,eBird - Traveling Count,57,0,3.,,1,,,,582200621 582200631
S140767819,Ánade azulón,Anas platyrhynchos,505,1,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-22,04:09 PM,eBird - Traveling Count,64,0,2.,,1,,,,582111911
S148593524,Ánade azulón,Anas platyrhynchos,505,1,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-08-31,02:56 PM,eBird - Casual Observation,,0,,,1
S148943578,Ánade azulón,Anas platyrhynchos,505,3,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-09-04,12:57 PM,eBird - Casual Observation,,0,,,1
S149053246,Ánade azulón,Anas platyrhynchos,505,2,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-09-05,03:27 PM,eBird - Casual Observation,,0,,,1
S149109457,Ánade azulón,Anas platyrhynchos,505,3,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-09-06,12:54 PM,eBird - Casual Observation,,0,,,1
S150493791,Ánade azulón,Anas platyrhynchos,505,4,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-09-22,08:27 PM,eBird - Traveling Count,24,1,.917,,1
S149462230,Ánade azulón,Anas platyrhynchos,505,6,ES-GA,Pontevedra,L5820438,Esteiro do Miño--Marisma de Salcidos,41.9012837,-8.8448095,2023-09-09,06:02 PM,eBird - Traveling Count,128,1,2.655,,1,,,,608655318
S140766884,Ánade azulón,Anas platyrhynchos,505,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-23,01:07 PM,eBird - Traveling Count,80,0,4.,,1,,,,582109141
S140702595,Ánade azulón,Anas platyrhynchos,505,5,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-05-27,03:23 PM,eBird - Traveling Count,95,1,5.,,1,,,,581843791 581843801 581843821
S140558068,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-03,01:56 PM,eBird - Traveling Count,106,1,5.,,1,,,,581417581 581417591 581417601 581417611 581417621
S140989431,Ánade azulón,Anas platyrhynchos,505,1,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-09,04:13 PM,eBird - Traveling Count,115,1,5.649,,1,,,,582900281
S141098540,Ánade azulón,Anas platyrhynchos,505,12,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-10,03:44 PM,eBird - Traveling Count,114,1,6.695,,1,,,,583243871 583243881
S141614449,Ánade azulón,Anas platyrhynchos,505,15,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-15,12:51 PM,eBird - Traveling Count,87,1,3.862,,1,,,,585066451 585066461 585066471 585066481 585066491 585067261 585068581 585068591 585070551
S141699864,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-16,10:24 AM,eBird - Traveling Count,74,1,5.311,,1,,,,585368591 585368601
S142340540,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-22,01:13 PM,eBird - Traveling Count,82,1,3.138,,1,,,,587443831
S147728945,Ánade azulón,Anas platyrhynchos,505,11,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-20,08:51 PM,eBird - Traveling Count,99,1,3.267,,1,,,,605389151 605389161
S148070431,Ánade azulón,Anas platyrhynchos,505,20,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-25,08:14 PM,eBird - Traveling Count,59,1,2.205,,1,,,,606959661 606959671 606959681 606959691
S148406921,Ánade azulón,Anas platyrhynchos,505,10,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-29,08:52 PM,eBird - Traveling Count,100,1,1.915,,1,,,,608271683
S148798207,Ánade azulón,Anas platyrhynchos,505,14,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-02,07:07 PM,eBird - Traveling Count,58,1,2.124,,1
S149141694,Ánade azulón,Anas platyrhynchos,505,17,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-06,07:44 PM,eBird - Traveling Count,85,1,2.655,,1,,,,608558026
S149209087,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-07,08:08 PM,eBird - Traveling Count,71,1,2.205,,1
