gbifId,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,numObservations,scientificName,iucnCategory,genus,family,order,genusKey,familyKey,orderKey,ebirdId,commonName,discoveryYear,discoverer,commonName_ca,commonName_zh,commonName_zh-TW,commonName_hr,commonName_cs,commonName_da,commonName_nl,commonName_en,commonName_et,commonName_fi,commonName_fr,commonName_de,commonName_hu,commonName_it,commonName_ja,commonName_lt,commonName_no,commonName_pl,commonName_pt,commonName_ru,commonName_sr,commonName_sk,commonName_es,commonName_sv,commonName_tr,commonName_uk,commonName_af,commonName_ar,commonName_be,commonName_bg,commonName_el,commonName_he,commonName_is,commonName_id,commonName_ko,commonName_lv,commonName_mk,commonName_ml,commonName_se,commonName_fa,commonName_th
5231190,48260,45079,55596,81704,80414,53744,45947,46183,45883,47396,41932,48469,25,18,16,17,25,26,39,131,353,658,866,820,805,804,594,539,668,633,430,270,175,35,11,17,640607,Passer domesticus,LC,Passer,Passeridae,Passeriformes,2492321.0,5264.0,729.0,houspa,House Sparrow,1758,Linnaeus,pardal comú,家麻雀,家麻雀,vrabac,vrabec domácí,Gråspurv,Huismus,House Sparrow,koduvarblane,varpunen,Moineau domestique,Haussperling,házi veréb,Passera Europea,イエスズメ,naminis žvirblis,gråspurv,wróbel (zwyczajny),pardal-de-telhado,Домовый воробей,Vrabac pokućar,vrabec domový,Gorrión común,gråsparv,Serçe,горобець хатній,Huismossie,دوري منزلي,Дамавы верабей,Домашно врабче,Σπιτοσπουργίτης,דרור הבית,Gráspör,,집참새,mājas zvirbulis,домашно врапче,അങ്ങാടിക്കുരുവി,Ránescihci,گنجشک خانگی,นกกระจอกใหญ่
2490719,50256,48006,58239,83956,81748,51802,37148,37735,44350,49603,45155,50983,22,25,8,19,27,27,63,185,382,630,752,693,620,573,420,383,507,573,498,335,209,51,13,14,638981,Turdus merula,LC,Turdus,Turdidae,Passeriformes,2490714.0,5290.0,729.0,eurbla,Eurasian Blackbird,1758,Linnaeus,merla,欧乌鸫,烏鶇,kos,kos černý,Solsort,Merel,Common Blackbird,musträstas,mustarastas,Merle noir,Amsel,fekete rigó,Merlo,ニシクロウタドリ,juodasis strazdas,svarttrost,kos,melro-preto,Чёрный дрозд,Obični kos,drozd čierny,Mirlo común,koltrast,Karatavuk,дрізд чорний,,شحرور,Чорны дрозд,Кос,(Κοινός) Κότσυφας,שחרור,Svartþröstur,,대륙검은지빠귀,melnais meža strazds,ќос,,Čáhppesrásttis,توکای سیاه,
2489104,36860,34319,41210,61467,61673,36627,24929,29590,39622,41023,35226,39069,16,15,9,11,6,6,38,158,356,426,491,381,338,247,209,231,290,385,315,166,119,29,6,6,481615,Sturnus unicolor,LC,Sturnus,Sturnidae,Passeriformes,2489099.0,9350.0,729.0,sposta1,Spotless Starling,1820,Temminck,estornell negre,纯色椋鸟,純色椋鳥,crni čvorak,špaček černý,Ensfarvet Stær,Zwarte Spreeuw,Spotless Starling,ibeeria kuldnokk,mustakottarainen,Étourneau unicolore,Einfarbstar,egyszínű seregély,Storno nero,ムジホシムクドリ,vienspalvis varnėnas,middelhavsstær,szpak jednobarwny,estorninho-preto,Чёрный скворец,Crni čvorak,škorec jednofarebný,Estornino negro,svartstare,Kara Sığırcık,шпак піренейський,,,,Едноцветен скорец,Μαυροψάρονο,זרזיר שחור,Gljástari,,,vienmuļais strazds,,,Čáhppesstárra,,
2494686,30355,28001,39491,58439,55446,36711,29262,29227,30773,34678,32353,33739,11,9,7,7,7,11,26,76,206,311,336,405,323,304,232,221,300,283,217,133,61,20,8,8,438475,Carduelis carduelis,NE,Carduelis,Fringillidae,Passeriformes,2494621.0,5242.0,729.0,eurgol,European Goldfinch,1758,Linnaeus,cadernera europea,红额金翅雀,金絲雀,češljugar,stehlík obecný,Stillits,Putter,European Goldfinch,ohakalind,tikli,Chardonneret élégant,Stieglitz,tengelic,Cardellino,ゴシキヒワ,europinis dagilis,stillits,szczygieł,pintassilgo-europeu,Щегол,Češljugar,stehlík obyčajný,Jilguero europeo,steglits,Saka,щиглик звичайний,,حسون أوروبي,Чорнагаловы шчыгел,Щиглец,Καρδερίνα,חוחית,Þistilfinka,,,dadzītis,билбилче,,Gollebeibboš,سهره طلایی,
9687165,49549,39500,37201,31988,28475,21660,21118,25259,29540,41688,46481,53765,13,13,6,8,9,13,23,69,169,285,463,502,499,497,370,361,414,387,263,130,78,16,12,16,426224,Motacilla alba,LC,Motacilla,Motacillidae,Passeriformes,2490295.0,5257.0,729.0,whiwag,White Wagtail,1758,Linnaeus,cuereta blanca,白鹡鸰,白鶺鴒,bijela pastirica,konipas bílý,Hvid Vipstjert,Witte Kwikstaart,White Wagtail,linavästrik,västäräkki,Bergeronnette grise,Bachstelze,barázdabillegető,Ballerina bianca,ハクセキレイ,baltoji kielė,linerle,pliszka siwa,alvéola-branca,Белая трясогузка,Bela pliska,trasochvost biely,Lavandera blanca,sädesärla,Ak Kuyruksallayan,плиска біла,Witkwikkie,أبوفصادة ابيض,Белая плiска (або сiтаўка),Бяла стърчиопашка,Λευκοσουσουράδα,נחליאלי לבן,Maríuerla,,알락할미새,baltā cielava,бела тресиопашка,വെള്ള വാലുകുലുക്കി,Beštor,دم‌ جنبانک ابلق,นกอุ้มบาตร
2492462,47543,37218,35253,29194,26869,19533,15129,19052,25869,51694,51391,52467,12,11,13,16,14,5,20,80,240,399,695,793,797,696,495,400,384,435,267,139,62,16,11,6,411212,Erithacus rubecula,NE,Erithacus,Muscicapidae,Passeriformes,2492460.0,9322.0,729.0,eurrob1,European Robin,1758,Linnaeus,pit-roig,欧亚鸲,歐亞歌鴝,crvendać,červenka obecná,Rødhals,Roodborst,European Robin,punarind,punarinta,Rougegorge familier,Rotkehlchen,vörösbegy,Pettirosso,ヨーロッパコマドリ,paprastoji liepsnelė,rødstrupe,rudzik,pisco-de-peito-ruivo,Зарянка,Crvendać,červienka obyčajná,Petirrojo europeo,rödhake,Kızılgerdan,вільшанка,,أبو الحناء الأوروبي,Малiнаўка,Червеногръдка,Κοκκινολαίμης,אדום חזה,Glóbrystingur,,꼬까울새,sarkanrīklīte,црвеногушка,,Guovssoloddi,سینه‌ سرخ اروپایی,
2495455,25162,26212,35436,48899,50122,35858,31074,34359,31226,30230,23102,24851,9,10,12,8,12,14,27,130,273,363,478,369,319,261,195,188,235,270,281,215,123,28,10,4,396531,Columba palumbus,LC,Columba,Columbidae,Columbiformes,2495404.0,5233.0,1446.0,cowpig1,Common Wood-Pigeon,1758,Linnaeus,tudó,斑尾林鸽,斑尾林鴿,golub grivnjaš,holub hřivnáč,Ringdue,Houtduif,Common Wood Pigeon,kaelustuvi e. meigas,sepelkyyhky,Pigeon ramier,Ringeltaube,örvös galamb,Colombaccio,モリバト,paprastasis keršulis,ringdue,grzywacz,pombo-torcaz,Вяхирь,Golub grivnaš,holub hrivnák,Paloma torcaz,ringduva,Tahtalı,припутень,,حمام الغاب/ ورشان,Вялiкi голуб,Гривяк,Φάσσα,יונת ענק,Hringdúfa,,,lauku balodis,гулаб гурмиш,,Dielkoduvvá,کبوتر جنگلی,
2494200,23095,31656,46238,67152,63825,40831,24961,16330,15815,20208,18968,22958,12,8,6,7,4,6,36,130,273,392,490,543,545,470,293,282,365,321,299,180,101,17,9,7,392037,Serinus serinus,LC,Serinus,Fringillidae,Passeriformes,8215044.0,5242.0,729.0,eurser1,European Serin,1766,Linnaeus,gafarró europeu,欧洲丝雀,金黃絲雀,žutarica,zvonohlík zahradní,Gulirisk,Europese Kanarie,European Serin,koldvint,keltahemppo,Serin cini,Girlitz,csicsörke,Verzellino,セリン,europinis svilikėlis,gulirisk,kulczyk (zwyczajny),milheirinha-europeia,Канареечный вьюрок,Žutarica,kanárik poľný,Serín verdecillo,gulhämpling,Küçük İskete,щедрик європейський,,نعار أوروبي,Еўрапейскi юрок,Европейско канарче,(Ευρωπαϊκό) Σκαρθάκι,בזבוז אירופי,Gulfinka,,,ģirlicis,жолтарче,,Fiskesruoivil,سهره دمگاه ‌زرد,
9515886,3400,14267,37410,69307,65622,42343,39329,48129,35402,12130,1749,1550,10,3,5,4,8,7,19,72,194,240,274,239,220,175,147,111,159,189,168,168,110,31,22,8,370638,Hirundo rustica,NE,Hirundo,Hirundinidae,Passeriformes,2489222.0,5248.0,729.0,barswa,Barn Swallow,1758,Linnaeus,oreneta comuna,家燕,家燕,lastavica,vlaštovka obecná,Landsvale,Boerenzwaluw,Barn Swallow,suitsupääsuke,haarapääsky,Hirondelle rustique,Rauchschwalbe,füsti fecske,Rondine,ツバメ,šelmeninė kregždė,låvesvale,dymówka,andorinha-das-chaminés,Деревенская ласточка,Seoska lasta,lastovička obyčajná,Golondrina común,ladusvala,Kır Kırlangıcı,ластівка сільська,Europese Swael,سنونو شائع,Вясковая ластаўка,Селска лястовица,σταβλοχελίδονο,סנונית רפתות,Landsvala,Layang-layang api,제비,bezdelīga,селска ластовичка,വയൽക്കോതിക്കത്രിക,Spálfu,پرستوی معمولی,นกนางแอ่นบ้าน
9761484,33593,30425,39370,43559,37884,20450,18761,25466,30072,28735,25451,32686,12,12,8,9,23,21,29,111,308,516,740,772,766,591,427,466,584,609,451,286,135,42,6,13,366452,Anas platyrhynchos,NE,Anas,Anatidae,Anseriformes,2498056.0,2986.0,1108.0,mallar3,Mallard,1758,Linnaeus,ànec collverd,绿头鸭,綠頭鴨,divlja patka,kachna divoká,Gråand,Wilde Eend,Mallard,sinikael-part,sinisorsa,Canard colvert,Stockente,tőkés réce,Germano reale,マガモ,didžioji antis,stokkand,krzyżówka,pato-real,Кряква,Gluvara,kačica divá,Ánade azulón,gräsand,Yeşilbaş,крижень звичайний,Groenkopeend,خضاري,Качка-крыжанка,Зеленоглава патица,Πρασινοκέφαλη Πάπια,ברכיה,Stokkönd,Itik kalung,청둥오리,meža pīle,дива патка,,Stuorravuojaš,اردک سرسبز,เป็ดหัวเขียว
